date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:52	45148/45148	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:32%20GMT	https://www.nzog.com/producing-assets/maari/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/producing-assets/maari/index.html	(from https://www.nzog.com/)
11:22:52	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://www.nzog.com/)
11:22:52	47259/47259	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:32%20GMT	https://www.nzog.com/producing-assets/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/producing-assets/index.html	(from https://www.nzog.com/)
11:22:53	45401/45401	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:33%20GMT	https://www.nzog.com/producing-assets/sampang-psc/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/producing-assets/sampang-psc/index.html	(from https://www.nzog.com/)
11:22:53	35452/35452	---MCZ	200	added ('OK')	application/javascript	etag:W/%22046ba2b5f4cff7d2eaaa1af55caa9fd8%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	(from https://www.nzog.com/)
11:22:54	50159/50159	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:33%20GMT	https://www.nzog.com/producing-assets/kupe/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/producing-assets/kupe/index.html	(from https://www.nzog.com/)
11:22:54	102375/102375	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2027%20Dec%202016%2019:36:56%20GMT	https://www.nzog.com/themes/nz-oil-gas/combinedfiles/app.js?m=1482867416	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/themes/nz-oil-gas/combinedfiles/app65ca.js	(from https://www.nzog.com/)
11:22:55	51516/51516	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:34%20GMT	https://www.nzog.com/sustainability/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/index.html	(from https://www.nzog.com/)
11:22:55	51477/51477	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Dec%202017%2018:22:35%20GMT	https://www.nzog.com/sustainability/about-sustainability/board-comment/	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/sustainability/about-sustainability/board-comment/index.html	(from https://www.nzog.com/)
11:22:56	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Dec%202015%2001:25:04%20GMT	https://www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	C:/Users/Dallas/Documents/GitHub/parkerprecisionweb.github.io/portfolio/patroleum_design/patroleum_example/www.nzog.com/vendor/twbs/bootstrap-sass/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	(from https://www.nzog.com/themes/nz-oil-gas/css/bootstrap.css)
